check_in,unit_id,currency,reservations,nights,gross_income_sum,net_amount_sum,median_gross_adr,median_net_adr,median_booking_lead_days
2024-05-04,room_a,CRC,1,1.0,64000.0,61830.4,64000.0,61830.4,1.0
2024-05-10,room_a,CRC,1,1.0,64000.0,61830.64,64000.0,61830.64,5.0
2024-05-11,room_b,CRC,1,1.0,61600.0,59511.76,61600.0,59511.76,4.0
2024-05-17,room_a,CRC,1,1.0,69000.0,66660.9,69000.0,66660.9,2.0
2024-05-18,room_a,CRC,1,1.0,69000.0,66659.01,69000.0,66659.01,3.0
2024-05-18,room_b,CRC,1,1.0,61600.0,59511.76,61600.0,59511.76,9.0
2024-05-19,room_b,CRC,1,1.0,77000.0,74388.58,77000.0,74388.58,4.0
2024-05-31,room_a,CRC,1,1.0,69000.0,66661.03,69000.0,66661.03,4.0
2024-05-31,room_b,CRC,1,1.0,77000.0,74389.7,77000.0,74389.7,8.0
2024-06-01,room_a,CRC,1,1.0,69000.0,66660.9,69000.0,66660.9,16.0
2024-06-01,room_b,CRC,1,1.0,77000.0,74389.7,77000.0,74389.7,4.0
2024-06-07,room_b,CRC,1,1.0,77000.0,74389.7,77000.0,74389.7,3.0
2024-06-08,room_b,CRC,1,1.0,61600.0,59511.67,61600.0,59511.67,30.0
2024-06-09,room_b,CRC,1,1.0,77000.0,74390.95,77000.0,74390.95,5.0
2024-06-15,room_a,CRC,1,1.0,69000.0,66660.9,69000.0,66660.9,26.0
2024-06-15,room_b,CRC,1,1.0,77000.0,74389.7,77000.0,74389.7,12.0
2024-06-29,room_a,CRC,1,1.0,69000.0,66662.42,69000.0,66662.42,25.0
2024-06-29,room_b,CRC,1,1.0,77000.0,74391.72,77000.0,74391.72,8.0
2024-07-07,room_a,CRC,1,1.0,69000.0,66660.9,69000.0,66660.9,24.0
2024-07-11,room_b,CRC,1,1.0,77000.0,74391.53,77000.0,74391.53,32.0
2024-07-12,room_a,CRC,1,1.0,69000.0,66661.03,69000.0,66661.03,46.0
2024-07-13,room_a,CRC,1,1.0,69000.0,66660.9,69000.0,66660.9,38.0
2024-07-15,room_b,CRC,1,1.0,77000.0,74392.07,77000.0,74392.07,45.0
