check_in_month,check_in_context,currency,reservations,nights,gross_income_sum,net_amount_sum,median_gross_adr,median_net_adr,median_booking_lead_days
1,weekday,CRC,3,4.0,285000.0,275340.37,75000.0,72458.62,18.0
1,weekday,USD,4,4.0,673.0,650.1800000000001,155.0,149.745,4.5
1,weekend,CRC,15,15.0,1060000.0,1024069.46,70000.0,67627.0,11.0
1,weekend,USD,8,10.0,1800.5,1739.46,182.5,176.315,13.5
2,weekday,CRC,6,7.0,480000.0,463728.0,70000.0,67627.0,24.5
2,weekend,CRC,18,20.0,1597000.0,1542856.5999999999,80000.0,77288.0,22.5
3,weekday,CRC,3,3.0,210000.0,202881.41,70000.0,67627.0,25.0
3,weekend,CRC,10,11.0,960000.0,927456.0900000001,80000.0,77288.2,17.5
4,weekday,CRC,7,8.0,670000.0,647289.25,90000.0,86949.0,11.0
4,weekend,CRC,13,13.0,1300000.0,1255921.19,100000.0,96610.0,10.0
5,weekday,CRC,5,7.0,590000.0,570001.37,90000.0,86949.0,4.0
5,weekend,CRC,19,20.0,1531200.0,1479290.84,77000.0,74388.58,4.0
6,weekday,CRC,3,3.0,180000.0,173898.0,60000.0,57966.0,5.0
6,weekend,CRC,19,19.0,1420600.0,1372446.7599999998,77000.0,74389.7,12.0
7,weekday,CRC,12,14.0,874000.0,844376.71,60000.0,57966.0,17.0
7,weekend,CRC,17,19.0,1371000.0,1324525.73,70000.0,67627.0,23.0
8,weekday,CRC,4,4.0,292000.0,282099.49,73000.0,70524.445,7.0
8,weekend,CRC,13,14.0,1051000.0,1015377.98,77000.0,74389.7,17.0
9,weekday,USD,1,2.0,275.0,265.68,137.5,132.84,9.0
9,weekend,CRC,7,7.0,515000.0,497542.65,77000.0,74389.7,18.0
9,weekend,USD,2,2.0,295.0,285.0,147.5,142.5,6.5
10,weekday,USD,4,5.0,645.0,623.14,135.0,130.4225,9.0
10,weekend,CRC,6,6.0,438000.0,423148.4,73000.0,70524.78,25.5
10,weekend,USD,12,13.0,2125.25,2053.21,165.0,159.41,10.5
11,weekday,CRC,3,3.0,180000.0,173898.0,60000.0,57966.0,3.0
11,weekday,USD,3,6.0,700.0,676.27,140.0,135.255,4.0
11,weekend,CRC,18,21.0,1499000.0,1448188.3899999997,77000.0,74389.64,7.0
11,weekend,USD,17,20.0,3660.0,3535.93,180.0,173.9,9.0
12,weekday,CRC,5,5.0,300000.0,289830.83999999997,60000.0,57966.0,6.0
12,weekday,USD,8,9.0,1778.5,1718.2,200.0,193.22,20.5
12,weekend,CRC,19,21.0,1545000.0,1492638.3499999999,70000.0,67627.0,15.0
12,weekend,USD,12,13.0,2703.5,2611.83,215.0,207.70999999999998,8.5
