check_in_year,check_in_month,unit_id,currency,reservations,nights,gross_income_sum,net_amount_sum,median_gross_adr,median_net_adr,median_booking_lead_days,month_start,month_label
2024,5,room_a,CRC,5,5.0,335000.0,323641.98,69000.0,66659.01,3.0,2024-05-01,2024-05
2024,5,room_b,CRC,4,4.0,277200.0,267801.8,69300.0,66950.17,6.0,2024-05-01,2024-05
2024,6,room_a,CRC,3,3.0,207000.0,199984.21999999997,69000.0,66660.9,25.0,2024-06-01,2024-06
2024,6,room_b,CRC,6,6.0,446600.0,431463.44000000006,77000.0,74389.7,6.5,2024-06-01,2024-06
2024,7,room_a,CRC,3,3.0,207000.0,199982.83,69000.0,66660.9,38.0,2024-07-01,2024-07
2024,7,room_b,CRC,4,4.0,308000.0,297564.47000000003,77000.0,74391.35,37.0,2024-07-01,2024-07
2024,8,room_a,CRC,7,7.0,483000.0,466631.27999999997,69000.0,66661.19,6.0,2024-08-01,2024-08
2024,8,room_b,CRC,9,10.0,770000.0,743899.6299999999,77000.0,74389.7,17.0,2024-08-01,2024-08
2024,9,room_a,CRC,3,3.0,207000.0,199982.69999999998,69000.0,66660.9,19.0,2024-09-01,2024-09
2024,9,room_b,CRC,4,4.0,308000.0,297559.95,77000.0,74389.7,11.0,2024-09-01,2024-09
2024,10,room_a,CRC,3,3.0,207000.0,199980.44999999998,69000.0,66660.02,19.0,2024-10-01,2024-10
2024,10,room_b,CRC,3,3.0,231000.0,223167.94999999998,77000.0,74389.59,28.0,2024-10-01,2024-10
2024,11,room_a,CRC,10,11.0,678000.0,655009.7799999999,60000.0,57966.0,6.0,2024-11-01,2024-11
2024,11,room_b,CRC,11,13.0,1001000.0,967076.6099999999,77000.0,74390.2,7.0,2024-11-01,2024-11
2024,12,room_a,CRC,16,17.0,1110000.0,1072375.62,60000.0,57966.42,10.5,2024-12-01,2024-12
2024,12,room_b,CRC,8,9.0,735000.0,710093.5700000001,82500.0,79704.525,18.5,2024-12-01,2024-12
2025,1,room_a,CRC,10,10.0,660000.0,637629.37,70000.0,67627.0,16.0,2025-01-01,2025-01
2025,1,room_b,CRC,8,9.0,685000.0,661780.46,77500.0,74873.34,11.0,2025-01-01,2025-01
2025,2,room_a,CRC,13,14.0,1047000.0,1011504.06,70000.0,67627.0,19.0,2025-02-01,2025-02
2025,2,room_b,CRC,11,13.0,1030000.0,995080.54,80000.0,77288.0,26.0,2025-02-01,2025-02
2025,3,room_a,CRC,5,6.0,520000.0,502372.32,80000.0,77288.4,9.0,2025-03-01,2025-03
2025,3,room_b,CRC,8,8.0,650000.0,627965.1799999999,80000.0,77288.0,25.5,2025-03-01,2025-03
2025,4,room_a,CRC,7,7.0,640000.0,618307.4500000001,100000.0,96610.0,3.0,2025-04-01,2025-04
2025,4,room_b,CRC,13,14.0,1330000.0,1284902.9899999998,100000.0,96607.71,11.0,2025-04-01,2025-04
2025,5,room_a,CRC,7,8.0,584000.0,564201.97,70000.0,67627.0,5.0,2025-05-01,2025-05
2025,5,room_b,CRC,8,10.0,925000.0,893646.46,92500.0,89364.25,3.0,2025-05-01,2025-05
2025,6,room_a,CRC,9,9.0,617000.0,596082.19,70000.0,67627.0,5.0,2025-06-01,2025-06
2025,6,room_b,CRC,4,4.0,330000.0,318814.91,82500.0,79703.76999999999,8.5,2025-06-01,2025-06
2025,7,room_a,CRC,8,10.0,660000.0,637630.86,65000.0,62797.345,21.0,2025-07-01,2025-07
2025,7,room_b,CRC,14,16.0,1070000.0,1033724.2799999999,60000.0,57967.875,17.0,2025-07-01,2025-07
2025,8,room_b,CRC,1,1.0,90000.0,86946.56,90000.0,86946.56,41.0,2025-08-01,2025-08
2025,9,room_a,USD,3,4.0,570.0,550.68,137.5,132.84,9.0,2025-09-01,2025-09
2025,10,room_a,USD,7,7.0,950.25,918.03,140.0,135.25,5.0,2025-10-01,2025-10
2025,10,room_b,USD,9,11.0,1820.0,1758.3200000000002,170.0,164.235,13.0,2025-10-01,2025-10
2025,11,room_a,USD,8,11.0,1630.0,1574.75,180.0,173.9,10.0,2025-11-01,2025-11
2025,11,room_b,USD,12,15.0,2730.0,2637.4500000000003,205.0,198.05,6.5,2025-11-01,2025-11
2025,12,room_a,USD,9,10.0,1931.0,1865.52,200.0,193.22,8.0,2025-12-01,2025-12
2025,12,room_b,USD,11,12.0,2551.0,2464.51,220.0,212.54,9.0,2025-12-01,2025-12
2026,1,room_a,USD,7,9.0,1432.5,1383.93,155.0,149.745,10.0,2026-01-01,2026-01
2026,1,room_b,USD,5,5.0,1041.0,1005.71,210.0,202.88,12.0,2026-01-01,2026-01
