record_type,movement_date,booking_date,check_in,check_out,nights,unit_id,currency,net_amount,service_fee,quick_pay_fee,cleaning_fee,gross_income,lodging_tax,income_year,booking_lead_days
reservation,2026-02-02,2026-01-20,2026-01-20,2026-01-21,1.0,room_a,USD,117.86,4.14,,20.0,122.0,0.0,2026.0,0.0
reservation,2026-02-02,2026-01-16,2026-01-21,2026-01-22,1.0,room_b,USD,164.24,5.76,,20.0,170.0,0.0,2026.0,5.0
reservation,2026-02-02,2026-01-09,2026-01-24,2026-01-25,1.0,room_b,USD,202.88,7.12,,20.0,210.0,0.0,2026.0,15.0
reservation,2026-02-02,2026-01-16,2026-01-24,2026-01-25,1.0,room_a,USD,173.9,6.1,,20.0,180.0,0.0,2026.0,8.0
reservation,2026-02-02,2026-01-08,2026-01-30,2026-01-31,1.0,room_a,USD,173.9,6.1,,20.0,180.0,0.0,2026.0,22.0
reservation,2026-02-02,2026-01-18,2026-01-30,2026-01-31,1.0,room_b,USD,202.88,7.12,,20.0,210.0,0.0,2026.0,12.0
reservation,2026-01-19,2025-12-29,2026-01-09,2026-01-11,2.0,room_a,USD,357.46,12.54,,20.0,370.0,0.0,2026.0,11.0
reservation,2026-01-19,2026-01-11,2026-01-11,2026-01-12,1.0,room_a,USD,126.07,4.43,,20.0,130.5,0.0,2026.0,0.0
reservation,2026-01-19,2026-01-02,2026-01-12,2026-01-13,1.0,room_a,USD,135.25,4.75,,20.0,140.0,0.0,2026.0,10.0
reservation,2026-01-19,2025-09-25,2026-01-17,2026-01-19,2.0,room_a,USD,299.49,10.51,,20.0,310.0,0.0,2026.0,114.0
reservation,2026-01-19,2025-12-31,2026-01-17,2026-01-18,1.0,room_b,USD,202.88,7.12,,20.0,210.0,0.0,2026.0,17.0
resolution_payment,2026-01-05,,2025-12-30,2025-12-31,1.0,room_b,USD,150.0,,,,150.0,,2026.0,
reservation,2026-01-05,2025-12-02,2025-12-30,2025-12-31,1.0,room_b,USD,212.54,7.46,,20.0,220.0,0.0,2026.0,28.0
reservation,2026-01-05,2025-12-29,2025-12-30,2025-12-31,1.0,room_a,USD,142.49,5.01,,20.0,147.5,0.0,2026.0,1.0
reservation,2026-01-05,2025-10-12,2025-12-31,2026-01-01,1.0,room_a,USD,202.88,7.12,,20.0,210.0,0.0,2026.0,80.0
reservation,2026-01-05,2025-12-04,2025-12-31,2026-01-01,1.0,room_b,USD,232.83,8.17,,20.0,241.0,0.0,2026.0,27.0
